Artist_Id,Award
04gDigrS5kc9YWfZHwBETP,MTV Europe Music Award for Best New Act
04gDigrS5kc9YWfZHwBETP,Grammy Award for Best New Artist
06HL4z0CvFAxyc27GXpf02,MTV Video Music Award for Best Visual Effects
06HL4z0CvFAxyc27GXpf02,Grammy Award for Best Song Written for Visual Media
06HL4z0CvFAxyc27GXpf02,MTV Video Music Award for Best Pop Video
06HL4z0CvFAxyc27GXpf02,Grammy Award for Album of the Year
06HL4z0CvFAxyc27GXpf02,Grammy Award for Best Pop Vocal Album
06HL4z0CvFAxyc27GXpf02,MTV Video Music Award for Video of the Year
06HL4z0CvFAxyc27GXpf02,MTV Video Music Award for Best Female Video
06HL4z0CvFAxyc27GXpf02,MTV Video Music Award for Best Collaboration
06HL4z0CvFAxyc27GXpf02,American Music Award for Favorite Country Album
06HL4z0CvFAxyc27GXpf02,American Music Award for Favorite Country Female Artist
06HL4z0CvFAxyc27GXpf02,American Music Award for Favorite Pop/Rock Female Artist
06HL4z0CvFAxyc27GXpf02,Grammy Award for Best Music Video
06HL4z0CvFAxyc27GXpf02,Grammy Award for Best Country Album
06HL4z0CvFAxyc27GXpf02,Grammy Award for Best Country Solo Performance
06HL4z0CvFAxyc27GXpf02,Grammy Award for Best Country Song
06HL4z0CvFAxyc27GXpf02,Grammy Award for Best Female Country Vocal Performance
06HL4z0CvFAxyc27GXpf02,MTV Video Music Award for Best Video with a Social Message
06HL4z0CvFAxyc27GXpf02,American Music Award for Single of the Year
06HL4z0CvFAxyc27GXpf02,BRIT Award for International Female Solo Artist
06HL4z0CvFAxyc27GXpf02,Artist of the Year
06HL4z0CvFAxyc27GXpf02,Favorite Pop/Rock Album
06HL4z0CvFAxyc27GXpf02,Favorite Adult Contemporary New Artist
06HL4z0CvFAxyc27GXpf02,Dick Clark Award for Excellence
06HL4z0CvFAxyc27GXpf02,American Music Award for Video of the Year
06HL4z0CvFAxyc27GXpf02,American Music Award for Tour of the Year
0hCNtLu0JehylgoiP8L4Gh,MTV Europe Music Award for Best Hip-Hop
0hCNtLu0JehylgoiP8L4Gh,MTV Video Music Award for Best Hip-Hop Video
0hCNtLu0JehylgoiP8L4Gh,MTV Video Music Award for Best Female Video
0hCNtLu0JehylgoiP8L4Gh,BET Award for Best Hip-Hop Artists
0hCNtLu0JehylgoiP8L4Gh,BET Award for Best New Artist
0hCNtLu0JehylgoiP8L4Gh,BET Award for Viewer's Choice
0hCNtLu0JehylgoiP8L4Gh,People's Choice Award for Favorite Hip Hop Artist
0hCNtLu0JehylgoiP8L4Gh,People's Choice Award for Favorite Female Artist
0hCNtLu0JehylgoiP8L4Gh,American Music Award for Favorite Rap/Hip-Hop Album
0hCNtLu0JehylgoiP8L4Gh,Billboard Music Award for Rising Star
0hCNtLu0JehylgoiP8L4Gh,Favorite Rap/Hip Hop Artist
0hCNtLu0JehylgoiP8L4Gh,Brit Award for British Video of the Year
0Y5tJX1MQlPlqiwlOH1tJY,Latin Grammy Award for Best Short Form Music Video
19ra5tSw0tWufvUp8GotLo,Grammy Award
19ra5tSw0tWufvUp8GotLo,BRIT Awards
19ra5tSw0tWufvUp8GotLo,Golden Raspberry Award for Worst Original Song
19ra5tSw0tWufvUp8GotLo,Favorite Soul/R&B Album
1o2NpYGqHiCq7FoiYdyd1x,Teen Choice Awards
1o2NpYGqHiCq7FoiYdyd1x,Radio Disney Music Awards
1r4hJ1h58CWwUQe3MxPuau,Latin Grammy Award for Best Contemporary Pop Vocal Album
1SupJlEpv7RS2tPNRaHViT,Latin Grammy Award for Best Urban Fusion/Performance
1uNFoZAHBGtllmzznpCI3s,Grammy Award for Best Dance Recording
1uNFoZAHBGtllmzznpCI3s,Latin Grammy Award for Best Urban Fusion/Performance
1vCWHaC5f2uS3yhpwWbIA6,MTV Europe Music Award
1vCWHaC5f2uS3yhpwWbIA6,American Music Awards
1vCWHaC5f2uS3yhpwWbIA6,World Music Awards
1vCWHaC5f2uS3yhpwWbIA6,Teen Choice Awards
1vCWHaC5f2uS3yhpwWbIA6,Billboard Music Award
1vyhD5VmyZ7KMfW5gqLgo5,Latin Grammy Award for Best Urban Music Album
1vyhD5VmyZ7KMfW5gqLgo5,Latin Grammy Award for Best Urban Song
23fqKkggKUBHNkbKtXEls4,Spellemann Award of the year
23fqKkggKUBHNkbKtXEls4,Spellemannprisen for hit of the year
23fqKkggKUBHNkbKtXEls4,Q102443753
23fqKkggKUBHNkbKtXEls4,Q102443887
246dkjvS1zLTtiykXe5h60,list of awards and nominations received by Post Malone
2NjfBq1NflQcKSeiDooVjY,ARIA Award for Best Female Artist
2NjfBq1NflQcKSeiDooVjY,ARIA Award for Best Pop Release
2NjfBq1NflQcKSeiDooVjY,ARIA Award for Breakthrough Artist - Release
2NjfBq1NflQcKSeiDooVjY,ARIA Award for Best Independent Release
2NjfBq1NflQcKSeiDooVjY,Spotify Award for Emerging Artist
2SrSdSvpminqmStGELCSNd,Brit Award for British Male Solo Artist
2SrSdSvpminqmStGELCSNd,Brit Award for British Album of the Year
2wY79sveU1sp5g7SokKOiI,Grammy Award for Record of the Year
2wY79sveU1sp5g7SokKOiI,Grammy Award for Best Pop Vocal Album
2wY79sveU1sp5g7SokKOiI,Grammy Award for Song of the Year
2wY79sveU1sp5g7SokKOiI,Grammy Award for Best New Artist
2wY79sveU1sp5g7SokKOiI,BET Award for Best New Artist
2wY79sveU1sp5g7SokKOiI,88th Academy Awards
3klZnJvYGIbWritVwQD434,1st prize of the Eurovision Song Contest
3Nrfpe0tUJi4K4DXYWgMUX,MTV Europe Music Award for Biggest Fans
3Nrfpe0tUJi4K4DXYWgMUX,MTV Video Music Award for Best Group
3Nrfpe0tUJi4K4DXYWgMUX,American Music Award for Favorite Pop/Rock Band/Duo/Group
3Nrfpe0tUJi4K4DXYWgMUX,MTV Europe Music Award for Best Group
3Nrfpe0tUJi4K4DXYWgMUX,Billboard Music Award for Top Duo/Group
3Nrfpe0tUJi4K4DXYWgMUX,Billboard Music Award for Top Social Artist
3Nrfpe0tUJi4K4DXYWgMUX,American Music Award for Tour of the Year
3Nrfpe0tUJi4K4DXYWgMUX,MTV Video Music Award for Best K-Pop Video
3TVXtAsR1Inumwj472S9r4,Canada's Walk of Fame
3TVXtAsR1Inumwj472S9r4,Grammy Award for Best Rap Song
3TVXtAsR1Inumwj472S9r4,Grammy Award for Best Rap Album
3TVXtAsR1Inumwj472S9r4,Grammy Award for Best Rap/Sung Performance
3TVXtAsR1Inumwj472S9r4,American Music Award for Favorite Rap/Hip-Hop Album
3TVXtAsR1Inumwj472S9r4,Favorite Rap/Hip Hop Artist
3TVXtAsR1Inumwj472S9r4,Brit Award for International Male Solo Artist
3TVXtAsR1Inumwj472S9r4,American Music Award for Favorite Soul/R&B Song
3TVXtAsR1Inumwj472S9r4,American Music Award for Favorite Rap/Hip-Hop Song
4GNC7GD6oZMSxPGyXy4MNB,Brit Award for British Breakthrough Act
4GNC7GD6oZMSxPGyXy4MNB,Brit Award for British Single of the Year
4MCBfE4596Uoi2O4DtmEMz,Billboard Music Award for Top New Artist
4nDoRrQiYLoBzwC5BhVJzF,MTV Europe Music Award for Best Song
4nDoRrQiYLoBzwC5BhVJzF,MTV Europe Music Award for Best Video
4nDoRrQiYLoBzwC5BhVJzF,MTV Europe Music Award for Best Pop
4nDoRrQiYLoBzwC5BhVJzF,MTV Video Music Award for Video of the Year
4nDoRrQiYLoBzwC5BhVJzF,MTV Video Music Award for Best Collaboration
4nDoRrQiYLoBzwC5BhVJzF,American Music Award for New Artist of the Year
4nDoRrQiYLoBzwC5BhVJzF,Latin Grammy Award for Record of the Year
4nDoRrQiYLoBzwC5BhVJzF,MTV Europe Music Award for Best Artist
4nDoRrQiYLoBzwC5BhVJzF,MTV Europe Music Award for Best US Act
4nDoRrQiYLoBzwC5BhVJzF,Teen Choice Award for Choice Music – Female Artist
