Artist_Id,Instrument
00FQb4jTyendYWaN8pK0wa,guitar
00FQb4jTyendYWaN8pK0wa,singing
00FQb4jTyendYWaN8pK0wa,voice
06HL4z0CvFAxyc27GXpf02,piano
06HL4z0CvFAxyc27GXpf02,guitar
06HL4z0CvFAxyc27GXpf02,drum
06HL4z0CvFAxyc27GXpf02,acoustic guitar
06HL4z0CvFAxyc27GXpf02,ukulele
06HL4z0CvFAxyc27GXpf02,electric guitar
06HL4z0CvFAxyc27GXpf02,banjo
06HL4z0CvFAxyc27GXpf02,upright piano
06HL4z0CvFAxyc27GXpf02,voice
0eDvMgVFoNV3TpwtrVCoTj,voice
0hCNtLu0JehylgoiP8L4Gh,voice
0tmwSHipWxN12fsoLcFU3B,voice
0vRvGUQVUjytro0xpb26bs,voice
0xOeVMOz2fVg5BJY3N6akT,voice
0YinUQ50QDB7ZxSCLyQ40k,keyboard instrument
0ZED1XzwlLHW4ZaG4lOT6m,piano
0ZED1XzwlLHW4ZaG4lOT6m,voice
0ZHPrnImGh4re3TbSNkoZl,voice
15UsOTVnJzReFVN1VCnxy4,piano
15UsOTVnJzReFVN1VCnxy4,guitar
15UsOTVnJzReFVN1VCnxy4,drum
15UsOTVnJzReFVN1VCnxy4,voice
19ra5tSw0tWufvUp8GotLo,voice
1cNDP5yjU5vjeR8qMf4grg,voice
1mcTU81TzQhprhouKaTkpq,voice
1MIVXf74SZHmTIp4V4paH4,piano
1MIVXf74SZHmTIp4V4paH4,voice
1o2NpYGqHiCq7FoiYdyd1x,guitar
1o2NpYGqHiCq7FoiYdyd1x,voice
1r4hJ1h58CWwUQe3MxPuau,voice
1SupJlEpv7RS2tPNRaHViT,piano
1SupJlEpv7RS2tPNRaHViT,voice
1uNFoZAHBGtllmzznpCI3s,piano
1uNFoZAHBGtllmzznpCI3s,guitar
1uNFoZAHBGtllmzznpCI3s,drum
1uNFoZAHBGtllmzznpCI3s,voice
1vCWHaC5f2uS3yhpwWbIA6,piano
1vCWHaC5f2uS3yhpwWbIA6,guitar
1vCWHaC5f2uS3yhpwWbIA6,keyboard instrument
1vCWHaC5f2uS3yhpwWbIA6,synthesizer
1vCWHaC5f2uS3yhpwWbIA6,FL Studio
1vCWHaC5f2uS3yhpwWbIA6,Logic Pro
1vyhD5VmyZ7KMfW5gqLgo5,voice
23fqKkggKUBHNkbKtXEls4,piano
23fqKkggKUBHNkbKtXEls4,keyboard instrument
23fqKkggKUBHNkbKtXEls4,synthesizer
23fqKkggKUBHNkbKtXEls4,digital audio workstation
246dkjvS1zLTtiykXe5h60,guitar
246dkjvS1zLTtiykXe5h60,voice
2cWZOOzeOm4WmBJRnD5R7I,voice
2feDdbD5araYcm6JhFHHw7,voice
2FXC3k01G6Gw61bmprjgqS,acoustic-electric guitar
2FXC3k01G6Gw61bmprjgqS,voice
2jku7tDXc6XoB6MO2hFuqg,voice
2kCcBybjl3SAtIcwdWpUe3,voice
2oX42qP5ineK3hrhBECLmj,voice
2wY79sveU1sp5g7SokKOiI,voice
3klZnJvYGIbWritVwQD434,piano
3klZnJvYGIbWritVwQD434,voice
3l0CmX0FuQjFxr8SK7Vqag,voice
