Artist_Id,Voice_Type
00FQb4jTyendYWaN8pK0wa,contralto
06HL4z0CvFAxyc27GXpf02,mezzo-soprano
0Cp8WN4V8Tu4QJQwCN5Md4,soprano
0ZHPrnImGh4re3TbSNkoZl,tenor
19ra5tSw0tWufvUp8GotLo,tenor
19ra5tSw0tWufvUp8GotLo,tenore di grazia
1uNFoZAHBGtllmzznpCI3s,tenor
1vyhD5VmyZ7KMfW5gqLgo5,baritone
2FXC3k01G6Gw61bmprjgqS,tenor
2wY79sveU1sp5g7SokKOiI,countertenor
4obzFoKoKRHIphyHzJ35G3,soprano
4V8Sr092TqfHkfAA5fXXqG,tenor
5WUlDfRSoLAfcVSX1WnrxN,mezzo-soprano
63yrD80RY3RNEM2YDpUpO8,mezzo-soprano
66CXWjxzNUsdJxJ2JdwvnR,soprano
6eUKZXaKkcviH0Ku9w2n3V,tenor
6KImCVD70vtIoJWnq6nGn3,baritone
6LuN9FCkKOj5PcnpouEgny,baritone
6M2wZ9GZgrQXHCFfjv46we,mezzo-soprano
6qqNVTkY8uBg9cP3Jd7DAH,soprano
6WY7D3jk8zTrHtmkqqo5GI,soprano
6XpaIBNiVzIetEPCWDvAFP,mezzo-soprano
6XpaIBNiVzIetEPCWDvAFP,spinto soprano
7n2wHs1TKAczGzO7Dd2rGr,tenore di grazia
